,predicted_temp
0,21.216796875
1,21.060546875
2,20.724609375
3,20.751953125
4,20.4375
5,20.85546875
6,20.912109375
7,21.701171875
8,20.6796875
9,20.28125
10,18.53125
11,18.0234375
12,17.5625
13,20.248046875
14,20.029296875
15,21.78125
16,19.80078125
17,21.744140625
18,21.41015625
19,22.5390625
20,23.203125
21,21.984375
22,20.0546875
23,20.7763671875
24,15.4072265625
25,17.6669921875
26,19.22265625
27,18.94921875
28,18.822265625
29,17.115753173828125
30,16.9814453125
31,17.02197265625
32,18.4423828125
33,15.375
34,16.82470703125
35,16.248046875
36,16.5771484375
37,17.098876953125
38,18.0576171875
39,15.819580078125
40,16.3291015625
41,18.4609375
42,17.091796875
43,18.431640625
44,18.517578125
45,18.9453125
46,19.12890625
47,20.55859375
48,18.99609375
49,18.44140625
50,21.302734375
51,19.6591796875
52,15.150390625
53,19.486572265625
54,25.25
55,20.26611328125
56,20.501953125
57,16.517578125
58,21.208984375
59,21.083984375
60,21.0458984375
61,20.88671875
62,20.6884765625
63,20.490234375
64,21.7353515625
65,22.0859375
66,20.67919921875
67,22.353515625
68,22.142578125
69,23.48828125
70,22.55078125
71,21.90625
72,22.7578125
73,21.984375
74,22.8046875
75,23.125
76,3.43359375
77,14.67578125
78,11.11328125
79,14.19921875
80,17.93359375
81,22.82421875
82,20.52734375
83,23.25
84,24.65625
85,20.74609375
86,23.75390625
87,22.734375
88,21.265625
89,21.8984375
90,21.71484375
91,19.99609375
92,22.828125
93,21.34375
94,17.74609375
95,19.296875
96,17.7109375
97,18.70703125
98,19.703125
99,20.498046875
100,19.6881103515625
101,20.18017578125
102,19.087890625
103,21.146484375
104,20.09375
105,21.34765625
106,20.974609375
107,21.771484375
108,20.630859375
109,21.208984375
110,21.39453125
111,20.75
112,20.421875
113,20.509765625
114,20.251953125
115,19.9453125
116,21.005859375
117,19.865234375
118,22.078125
119,19.1015625
120,17.42578125
121,20.1943359375
122,19.55859375
123,18.068359375
124,18.154296875
125,18.0
126,18.23193359375
127,18.296875
128,18.3955078125
129,17.5567626953125
130,16.69775390625
131,12.223388671875
132,18.4599609375
133,18.34375
134,19.74609375
135,20.784423828125
136,14.924560546875
137,13.9498291015625
138,17.888671875
139,17.2353515625
140,18.20654296875
141,18.6865234375
142,19.3359375
143,19.1328125
144,21.67138671875
145,19.779296875
146,19.421875
147,19.274658203125
148,21.091796875
149,20.7431640625
150,20.392578125
151,20.25390625
152,20.38671875
153,20.14923095703125
154,19.877685546875
155,21.2509765625
156,23.94921875
157,-2542.71533203125
158,12.38818359375
159,22.5927734375
160,22.6953125
161,22.798828125
162,22.1875
163,22.357421875
164,22.1953125
165,23.5078125
166,23.6484375
167,24.109375
168,24.0625
169,22.6953125
170,22.2421875
171,18.7734375
172,23.71484375
173,22.4375
174,23.47265625
175,23.4296875
176,22.8984375
177,22.220703125
178,22.666015625
179,23.41015625
180,21.7041015625
181,22.3006591796875
182,21.4658203125
183,21.416015625
184,21.68359375
185,20.779296875
186,19.95361328125
187,20.685791015625
188,22.08203125
189,20.65283203125
190,21.6162109375
191,23.4111328125
192,22.15673828125
193,22.691650390625
194,22.254150390625
195,18.7421875
196,19.3623046875
197,19.9453125
198,19.27734375
199,21.8828125
200,21.203125
201,21.1328125
202,20.853515625
203,20.8125
204,21.62109375
205,20.3359375
206,21.416015625
207,20.685546875
208,20.330078125
209,21.6796875
210,20.8984375
211,20.5625
212,20.203125
213,21.185546875
214,19.8984375
215,20.7373046875
216,18.4130859375
217,20.16796875
218,19.388671875
219,19.8837890625
220,19.725830078125
221,18.2412109375
222,17.33984375
223,18.079833984375
224,17.796875
225,17.8056640625
226,18.11328125
227,17.943359375
228,15.4326171875
229,18.284423828125
230,15.6588134765625
231,17.326171875
232,18.45361328125
233,17.2548828125
234,19.5859375
235,19.302734375
236,19.10546875
237,19.4921875
238,19.4765625
239,20.0
240,19.89453125
241,20.044921875
242,20.6572265625
243,20.34619140625
244,20.3602294921875
245,20.1728515625
246,21.7705078125
247,19.8970947265625
248,74.1845703125
249,-0.64111328125
250,4.539794921875
251,-269.010009765625
252,21.0361328125
253,20.6640625
254,20.423828125
255,20.462890625
256,21.0439453125
257,22.23046875
258,21.986328125
259,22.71484375
260,22.052734375
261,23.80859375
262,23.015625
263,21.359375
264,23.80859375
265,23.78125
266,23.38671875
267,23.01953125
268,22.7109375
269,23.5390625
270,23.5234375
271,24.453125
272,21.46484375
273,22.08984375
274,24.81640625
275,22.7265625
276,24.109375
277,22.91015625
278,23.9765625
279,22.55078125
280,23.66796875
281,22.90234375
282,22.55078125
283,22.7421875
284,21.4921875
285,22.025390625
286,23.5341796875
287,22.21875
288,23.654296875
289,22.85693359375
290,22.8857421875
291,23.345703125
292,21.52490234375
293,18.638671875
294,17.44921875
295,21.267578125
296,20.908203125
297,19.53125
298,21.423828125
299,21.56640625
300,21.869140625
301,22.16015625
302,20.3046875
303,18.552734375
304,19.91796875
305,19.6845703125
306,19.908203125
307,22.09375
308,20.68359375
309,18.939453125
310,20.35546875
311,21.056640625
312,17.009765625
313,17.9140625
314,20.873046875
315,19.6162109375
316,17.3134765625
317,17.201171875
318,17.3984375
319,18.20703125
320,18.30078125
321,18.9296875
322,19.625
323,17.525390625
324,17.177734375
325,15.702392578125
326,14.8055419921875
